,district,name,state
1201,District 17,Keith Rothfus,Pennsylvania
1202,District 18,Michael Doyle,Pennsylvania
1203,District 1,David N. Cicilline,Rhode_Island
1204,District 1,Patrick Donovan,Rhode_Island
1205,District 1,Daniel Guilmette,Rhode_Island
1206,District 2,Jim Langevin,Rhode_Island
1207,District 2,Salvatore Caiozzo,Rhode_Island
1208,District 1,Joe Cunningham,South_Carolina
1209,District 1,Katie Arrington,South_Carolina
1210,District 2,Joe Wilson,South_Carolina
1211,District 2,Sean Carrigan,South_Carolina
1212,District 2,Sonny Narang,South_Carolina
1213,District 3,Jeff Duncan,South_Carolina
1214,District 3,Mary Geren,South_Carolina
1215,District 3,Dave Moore,South_Carolina
1216,District 3,John Bednar,South_Carolina
1217,District 4,Brandon Brown,South_Carolina
1218,District 4,William Timmons,South_Carolina
1219,District 4,Guy Furay,South_Carolina
1220,District 5,Ralph Norman,South_Carolina
1221,District 5,Archie Parnell,South_Carolina
1222,District 5,Michael Chandler,South_Carolina
1223,District 6,James Clyburn,South_Carolina
1224,District 6,Gerhard Gressmann,South_Carolina
1225,District 6,Bryan Pugh,South_Carolina
1226,District 7,Tom Rice,South_Carolina
1227,District 7,Robert Williams,South_Carolina
1228,,Timothy Bjorkman,South_Dakota
1229,,Dusty Johnson,South_Dakota
1230,,George Hendrickson,South_Dakota
1231,,Ron Wieczorek,South_Dakota
1232,,Phil Roe,Tennessee
1233,,Marty Olsen,Tennessee
1234,,Michael Salyer,Tennessee
1235,District 1,Louis B. &quot;Louie&quot; Gohmert Jr.,Texas
1236,District 1,Shirley McKellar,Texas
1237,District 2,Todd Litton,Texas
1238,District 2,Daniel Crenshaw,Texas
1239,District 2,Patrick Gunnels,Texas
1240,District 2,Scott Cubbler,Texas
1241,District 3,Lorie Burch,Texas
1242,District 3,Van Taylor,Texas
1243,District 3,Christopher Claytor,Texas
1244,District 3,Jeff Simmons,Texas
1245,District 4,John Ratcliffe,Texas
1246,District 4,Catherine Krantz,Texas
1247,District 4,Ken Ashby,Texas
1248,District 5,Dan Wood,Texas
1249,District 5,Lance Gooden,Texas
1250,District 5,Phil Gray,Texas
1251,District 6,Jana Lynne Sanchez,Texas
1252,District 6,Ronald Wright,Texas
1253,District 6,Jason Harber,Texas
1254,District 7,John Culberson,Texas
1255,District 7,Lizzie Pannill Fletcher,Texas
1256,District 7,Ronald Kimmons,Texas
1257,District 8,Kevin Brady,Texas
1258,District 8,Steven David,Texas
1259,District 8,Chris Duncan,Texas
1260,District 9,Al Green,Texas
1261,District 9,Phil Kurtz,Texas
1262,District 9,Benjamin Hernandez,Texas
1263,District 9,Kesha Rogers,Texas
1264,District 10,Michael McCaul,Texas
1265,District 10,Mike Siegel,Texas
1266,District 10,Mike Ryan,Texas
1267,District 11,Mike Conaway,Texas
1268,District 11,Jennie Lou Leeder,Texas
1269,District 11,Rhett Rosenquest Smith,Texas
1270,District 12,Kay Granger,Texas
1271,District 12,Vanessa Adia,Texas
1272,District 12,Jacob Leddy,Texas
1273,District 13,Mac Thornberry,Texas
1274,District 13,Greg Sagan,Texas
1275,District 13,Calvin DeWeese,Texas
1276,District 14,Randy Weber,Texas
1277,District 14,Adrienne Bell,Texas
1278,District 14,Don Conley III,Texas
1279,District 15,Vicente González,Texas
1280,District 15,Tim Westley,Texas
1281,District 15,Anthony Cristo,Texas
1282,District 16,Veronica Escobar,Texas
1283,District 16,Rick Seeberger,Texas
1284,District 16,Ben Mendoza,Texas
1285,District 16,&#91;6&#93;,Texas
1286,District 17,Bill Flores,Texas
1287,District 17,Rick Kennedy,Texas
1288,District 17,Peter Churchman,Texas
1289,District 18,Sheila Jackson Lee,Texas
1290,District 18,Ava Pate,Texas
1291,District 18,Luke Spencer,Texas
1292,District 18,Vince Duncan,Texas
1293,District 19,Jodey Arrington,Texas
1294,District 19,Miguel Levario,Texas
1295,District 20,Joaquin Castro,Texas
1296,District 20,Jeffrey Blunt,Texas
1297,District 21,Joseph Kopser,Texas
1298,District 21,Chip Roy,Texas
1299,District 21,Lee Santos,Texas
1300,District 22,Peter G. &quot;Pete&quot; Olson,Texas
1301,District 22,Sri Preston Kulkarni,Texas
1302,District 22,John McElligott,Texas
1303,District 22,Sara Kellen Sweny,Texas
1304,District 23,William &quot;Will&quot; Hurd,Texas
1305,District 23,Gina Ortiz Jones,Texas
1306,District 23,Ruben Corvalan,Texas
1307,District 24,Kenny Marchant,Texas
1308,District 24,Jan McDowell,Texas
1309,District 24,Mike Kolls,Texas
1310,District 25,Roger Williams,Texas
1311,District 25,Julie Oliver,Texas
1312,District 25,Desarae Lindsey,Texas
1313,District 25,Martin Luecke,Texas
1314,District 26,Michael C. Burgess,Texas
1315,District 26,Linsey Fagan,Texas
1316,District 26,Mark Boler,Texas
1317,District 27,Michael Cloud,Texas
1318,District 27,Eric Holguin,Texas
1319,District 27,Daniel Tinus,Texas
1320,District 27,James Duerr,Texas
1321,District 28,Henry Cuellar,Texas
1322,District 28,Arthur Thomas IV,Texas
1323,District 29,Sylvia Garcia,Texas
1324,District 29,Phillip Arnold Aronoff,Texas
1325,District 29,Cullen Burns,Texas
1326,District 29,Johnathan Garza,Texas
1327,District 30,Eddie Bernice Johnson,Texas
1328,District 30,Shawn Jones,Texas
1329,District 31,John Carter,Texas
1330,District 31,Mary Jennings &quot;M.J.&quot; Hegar,Texas
1331,District 31,Jason Hope,Texas
1332,District 32,Pete Sessions,Texas
1333,District 32,Colin Allred,Texas
1334,District 32,Melina Baker,Texas
1335,District 33,Marc Veasey,Texas
1336,District 33,Willie Billups,Texas
1337,District 33,Jason Reeves,Texas
1338,District 34,Filemon Vela,Texas
1339,District 34,Rey Gonzalez,Texas
1340,District 35,Lloyd Doggett,Texas
1341,District 35,David Smalling,Texas
1342,District 35,Clark Patterson,Texas
1343,District 36,Brian Babin,Texas
1344,District 36,Dayna Steele,Texas
1345,District 1,Rob Bishop,Utah
1346,District 1,Lee Castillo,Utah
1347,District 1,Adam Davis,Utah
1348,District 1,Eric Eliason,Utah
1349,District 2,Chris Stewart,Utah
1350,District 2,Shireen Ghorbani,Utah
1351,District 2,Jeffrey Whipple,Utah
1352,District 2,Jan Garbett,Utah
1353,District 3,John Curtis,Utah
1354,District 3,James Singer,Utah
1355,District 3,&#91;4&#93;,Utah
1356,District 3,Gregory Duerden,Utah
1357,District 3,&#91;4&#93;,Utah
1358,District 4,Mia Love,Utah
1359,District 4,Ben McAdams,Utah
1360,,Peter Welch,Vermont
1361,,Anya Tynio,Vermont
1362,,Laura Potter,Vermont
1363,,Cris Ericson,Vermont
1364,,H. Brooke Paige,Vermont
1365,,&#91;1&#93;,Vermont
1366,District 1,Rob Wittman,Virginia
1367,District 1,Vangie Williams,Virginia
1368,District 2,Scott Taylor,Virginia
1369,District 2,Elaine Luria,Virginia
1370,District 2,&#91;2&#93;,Virginia
1371,District 3,Bobby Scott,Virginia
1372,District 4,Aston Donald McEachin,Virginia
1373,District 4,Ryan McAdams,Virginia
1374,District 4,Pete Wells,Virginia
1375,District 5,Leslie Cockburn,Virginia
1376,District 5,Denver Riggleman,Virginia
1377,District 6,Jennifer Lewis,Virginia
1378,District 6,Ben Cline,Virginia
1379,District 7,David Brat,Virginia
1380,District 7,Abigail Spanberger,Virginia
1381,District 7,Joe Walton,Virginia
1382,District 8,Don Beyer,Virginia
1383,District 8,Thomas Oh,Virginia
1384,District 9,Morgan Griffith,Virginia
1385,District 9,Anthony Flaccavento,Virginia
1386,District 10,Barbara Comstock,Virginia
1387,District 10,Jennifer Wexton,Virginia
1388,District 10,Nathan Larson,Virginia
1389,District 11,Gerald Connolly,Virginia
1390,District 11,Jeff Dove,Virginia
1391,District 11,Stevan Porter,Virginia
1392,District 1,Suzan DelBene,Washington
1393,District 1,Jeffrey Beeler,Washington
1394,District 2,Rick Larsen,Washington
1395,District 2,Brian Luke,Washington
1396,District 3,Jaime Herrera Beutler,Washington
1397,District 3,Carolyn Long,Washington
1398,District 4,Dan Newhouse,Washington
1399,District 4,Christine Brown,Washington
1400,District 5,Cathy McMorris Rodgers,Washington
1401,District 5,Lisa Brown,Washington
1402,District 6,Derek Kilmer,Washington
1403,District 6,Douglas Dightman,Washington
1404,District 7,Pramila Jayapal,Washington
1405,District 7,Craig Keller,Washington
1406,District 8,Kim Schrier,Washington
1407,District 8,Dino Rossi,Washington
1408,District 9,D. Adam Smith,Washington
1409,District 9,Sarah Smith,Washington
1410,District 10,Denny Heck,Washington
1411,District 10,Joseph Brumbles,Washington
1412,District 1,David McKinley,West_Virginia
1413,District 1,Kendra Fershee,West_Virginia
1414,District 2,Alexander Mooney,West_Virginia
1415,District 2,Talley Sergent,West_Virginia
1416,District 2,Daniel Lutz,West_Virginia
1417,District 3,Richard Ojeda,West_Virginia
1418,District 3,Carol Miller,West_Virginia
1419,District 4,Gwen Moore,Wisconsin
1420,District 4,Tim Rogers,Wisconsin
1421,District 4,Robert Raymond,Wisconsin
